,School Resource Package Allocations,,,,,,,,,Student Enrolments – First term census ,,,,Student Attendance,
,2014 Students 1st Term FTE,2015 Students 1st Term FTE,2014 Final FFM $,2015 Final FFM $,2014 Final SRP $,2015 Final SRP $,2013 OENI,2014 OENI,ARIA+,2014 Headcount,2014 FTE,2015 Headcount,2015 FTE,2013 (%),2014 (%)
Scottsdale High School,333.3,334,451173,475992,762689,782351,0.5558,0.5335,3.23,344,333.3,335,334,90,90
Scottsdale Primary School,340.2,336.2,413174,421790,844823,725992,0.4777,0.4755,3.23,357,340.2,349,336.2,94,93
Sheffield School,536.3,512.2,697285,697705,1299700,1211236,0.557,0.5667,2.76,555,536.3,521,512.2,91,90
Smithton High School,271.2,296.1,442131,515329,962919,877776,0.6025,0.5994,4.83,275,271.2,299,296.1,90,87
Smithton Primary School,207.4,208.2,325489,338073,567496,624788,0.5497,0.561,4.83,222,207.4,217,208.2,94,92
Snug Primary School,369,351.2,372952,368696,632202,598905,0.3614,0.3607,2.17,389,369,368,351.2,94,94
Somerset Primary School,297.2,318.4,348166,394291,561278,596763,0.5341,0.4764,2.77,314,297.2,338,318.4,94,95
Sorell School,724.4,716.6,969194,1012138,1952905,1970791,0.6104,0.6087,1.99,744,724.4,737,716.6,89,88
South Arm Primary School,140,124.6,158333,143766,273412,250719,0.3866,0.3873,2.78,146,140,127,124.6,92,92
South George Town Primary School,261.6,261.6,336960,400460,534451,687258,0.6054,0.6024,3.01,274,261.6,278,261.6,93,94
South Hobart Primary School,326.6,352.6,314372,352153,514219,576884,0.2359,0.2297,1.83,347,326.6,373,352.6,93,92
Sprent Primary School,40.4,26.4,65786,49096,136161,124964,0.5369,0.5368,3.1,42,40.4,28,26.4,91,91
Spreyton Primary School,417,431.6,430094,470294,731657,784362,0.4432,0.4272,2.38,440,417,457,431.6,94,94
Springfield Gardens Primary School,287.2,299,414971,447265,1031351,984632,0.6796,0.6544,1.83,302,287.2,311,299,91,91
St Helens District High School,545.2,547.5,806087,888402,1311862,1509396,0.5287,0.5607,5.07,569,545.2,566,547.5,88,88
St Leonards Primary School,237,236,292444,311343,542408,532353,0.5887,0.595,1.83,249,237,244,236,93,93
St Marys District School,306.4,303.1,528919,559168,1049473,850833,0.608,0.6255,5.32,318,306.4,312,303.1,88,87
Stanley Primary School,52.2,48.6,92716,91796,136604,134651,0.4783,0.4122,5.1,55,52.2,51,48.6,95,94
Strahan Primary School,50.8,52.2,117604,131107,176855,220525,0.5233,0.5052,7.85,54,50.8,57,52.2,92,92
Summerdale Primary School,499,489.4,553832,584904,976109,996137,0.5062,0.5259,1.83,525,499,514,489.4,94,94
Swansea Primary School,63.4,55.6,129191,126580,217110,204955,0.4737,0.5288,7.18,67,63.4,58,55.6,92,92
Table Cape Primary School,311,306.2,440253,457292,946140,919745,0.5848,0.539,3.03,331,311,327,306.2,92,92
Taroona High School,870.2,911,765093,841906,1255558,1143163,0.2354,0.2209,1.83,871,870.2,911,911,89,89
Taroona Primary School,352.8,365.8,323059,360687,453119,514272,0.1969,0.171,1.83,367,352.8,385,365.8,92,93
Tasman District School,236.7,235.9,380641,398188,596072,693534,0.5721,0.5604,5.08,247,236.7,244,235.9,90,87
Tasmanian eSchool,199.5,48.2,260786,67197,683964,1282338,0.6057,0.5401,1.83,216,199.5,49,48.2,,
Trevallyn Primary School,459.4,451.6,435862,445430,628765,681441,0.2991,0.298,1.83,483,459.4,473,451.6,93,92
Triabunna District School,148.4,167,261576,312711,529656,504894,0.6607,0.6327,4.7,150,148.4,169,167,93,93
Ulverstone High School,492,459,590896,568955,886614,973009,0.5529,0.5215,2.63,492,492,459,459,88,87
Ulverstone Primary School,397.4,391.6,450829,464811,729226,757970,0.5175,0.5037,2.63,419,397.4,412,391.6,93,93
Waimea Heights Primary School,310,328.2,290161,322276,417891,449381,0.1239,0.1362,1.83,326,310,345,328.2,94,92
Warrane Primary School,185.2,155.2,288909,261953,516335,672300,0.7572,0.7609,1.83,194,185.2,166,155.2,88,88
Waverley Primary School,147,146.2,221208,233001,467328,500100,0.6886,0.6905,1.83,155,147,155,146.2,91,92
West Launceston Primary School,337.4,371.8,338143,388104,623959,653382,0.3811,0.4028,1.83,359,337.4,391,371.8,94,94
West Ulverstone Primary School,194.8,186.2,272546,275713,727745,678868,0.6217,0.6491,2.63,208,194.8,193,186.2,93,93
Westbury Primary School,123.4,98.6,157025,133767,250763,213267,0.5236,0.493,2.53,129,123.4,103,98.6,93,92
Westerway Primary School,61.4,73.6,119095,149853,214822,249107,0.7409,0.7731,3.28,65,61.4,78,73.6,92,92
Wilmot Primary School,40.4,23.4,79517,55759,132449,109287,0.625,0.6552,3.78,44,40.4,25,23.4,93,93
Windermere Primary School,461.6,477,661140,714677,1187153,1283011,0.6629,0.6188,1.83,490,461.6,505,477,91,92
Winnaleah District High School,118,121.8,230410,246258,355230,377749,0.7096,0.7204,4.75,124,118,125,121.8,89,90
Woodbridge School,151,177.2,229072,282217,631597,599966,0.587,0.5774,2.75,155,151,182,177.2,88,86
Wynyard High School,296,298,385527,409165,731063,705139,0.5373,0.5396,3.03,296,296,298,298,88,85
Yolla District High School,213,196,280008,286824,613831,574486,0.5284,0.5446,3.44,217,213,204,196,91,90
Youngtown Primary School,334.6,329.4,378132,386217,600872,614250,0.5136,0.4947,1.83,354,334.6,345,329.4,94,94
Zeehan Primary School,47.8,46.2,109488,123186,212373,215932,0.675,0.7326,6.49,51,47.8,49,46.2,92,91
Ashley School,30,30,,,220283,224856,0.6591,0.6667,2.96,12,10,8,8,,
Northern Support School,96.5,96,,,2072644,2085221,0.5967,0.6234,1.83,105,97,102,96.1,90,89
Southern Support School,70.8,75.9,,,1666720,1768135,0.5078,0.5323,1.83,79,71.5,88,76.3,90,89
School of Special Education North West,51.9,58.7,,,1182234,1424090,0.7095,0.6829,2.72,57,52,68,59.2,83,86
Early Childhood Intervention Service - Tasmania Burnie,,,,,,,,,,42,14.5,44,15.1,,
Early Childhood Intervention Service - Tasmania Devonport,,,,,,,,,,53,18,61,21.7,,
Early Childhood Intervention Service - Tasmania Hobart,,,,,,,,,,212,74,213,73.1,,
Early Childhood Intervention Service - Tasmania Launceston,,,,,,,,,,88,29.7,105,38.4,,
Totals,,,,,,,,,,63440,60569.3,62971,60391.7,90.99444444,90.66666667
